Title,Date,Rating,Votes,Director
Somewhere in Time,1980,7.2,28495,Jeannot Szwarc
Strange Brew,1983,6.7,16802,"Rick Moranis,  Dave Thomas"
The Sound of Music,1965,8,221289,Robert Wise
Diva,1981,7.2,12750,Jean-Jacques Beineix
Strictly Ballroom,1992,7.2,26683,Baz Luhrmann
All About Eve,1950,8.2,127851,Joseph L. Mankiewicz
Forrest Gump,1994,8.8,1952353,Robert Zemeckis
Duck Soup,1933,7.8,59249,Leo McCarey
Bad Taste,1987,6.5,46184,Peter Jackson
Patton,1970,7.9,99871,Franklin J. Schaffner
National Lampoon's Animal House,1978,7.5,118203,John Landis
Akira,1988,8,177839,Katsuhiro �tomo
Beauty and the Beast,1991,8,433751,"Gary Trousdale,  Kirk Wise"
The Long Kiss Goodnight,1996,6.8,78090,Renny Harlin
Down by Law,1986,7.7,50531,Jim Jarmusch
Dawn of the Dead,1978,7.9,117550,George A. Romero
Koyaanisqatsi,1982,8.3,37543,Godfrey Reggio
Before Sunrise,1995,8.1,292755,Richard Linklater
Cyrano de Bergerac,1990,7.5,23792,Jean-Paul Rappeneau
Groundhog Day,1993,8,602851,Harold Ramis
Cool Hand Luke,1967,8.1,172350,Stuart Rosenberg
Back to the Future,1985,8.5,1138009,Robert Zemeckis
Highlander,1986,7.1,131601,Russell Mulcahy
The Remains of the Day,1993,7.8,71587,James Ivory
Pink Floyd: The Wall,1982,8,79379,Alan Parker
The Philadelphia Story,1940,7.9,67379,George Cukor
City Lights,1931,8.5,178953,Charles Chaplin
Night on Earth,1991,7.7,58888,Jim Jarmusch
Jean de Florette,1986,8,25276,Claude Berri
Leaving Las Vegas,1995,7.5,120692,Mike Figgis
Young Frankenstein,1974,8,153806,Mel Brooks
Arsenic and Old Lace,1943,8,69453,Frank Capra
Unforgiven,1992,8.2,398176,Clint Eastwood
The Manchurian Candidate,1962,7.9,74286,John Frankenheimer
Little Women,1994,7.3,56604,Gillian Armstrong
Shallow Grave,1994,7.3,59830,Danny Boyle
Fantasia,1940,7.7,93361,"James Algar,  Samuel Armstrong,  Ford Beebe Jr.,  Norman Ferguson,  David Hand,  Jim Handley,  T. Hee,  Wilfred Jackson,  Hamilton Luske,  Bill Roberts,  Paul Satterfield,  Ben Sharpsteen"
Ben-Hur,1959,8.1,231927,William Wyler
This Is Spinal Tap,1984,7.9,136506,Rob Reiner
The Great Dictator,1940,8.4,216793,Charles Chaplin
Exotica,1994,7.1,19175,Atom Egoyan
The Big Sleep,1946,7.9,83714,Howard Hawks
High Noon,1952,8,102029,Fred Zinnemann
Sabrina,1954,7.6,63140,Billy Wilder
Being There,1979,8,70823,Hal Ashby
Heathers,1988,7.2,98234,Michael Lehmann
A Christmas Story,1983,7.9,145415,Bob Clark
The Unbearable Lightness of Being,1988,7.3,35481,Philip Kaufman
Die Hard,1988,8.2,846060,John McTiernan
Willy Wonka & the Chocolate Factory,1971,7.8,193150,Mel Stuart
Some Kind of Wonderful,1987,7.1,30403,Howard Deutch
Aladdin,1992,8,393229,"Ron Clements,  John Musker"
A Room with a View,1985,7.3,42528,James Ivory
Indiana Jones and the Last Crusade,1989,8.2,728457,Steven Spielberg
"The Adventures of Priscilla, Queen of the Desert",1994,7.5,49121,Stephan Elliott
Independence Day,1996,7,556036,Roland Emmerich
Forbidden Planet,1956,7.6,47862,Fred M. Wilcox
Strange Days,1995,7.2,70401,Kathryn Bigelow
Fried Green Tomatoes,1991,7.7,72262,Jon Avnet
Until the End of the World,1991,6.8,9973,Wim Wenders
Raise the Red Lantern,1991,8.1,31715,Yimou Zhang
In the Name of the Father,1993,8.1,168658,Jim Sheridan
Farewell My Concubine,1993,8.1,27427,Kaige Chen
Real Genius,1985,7,32977,Martha Coolidge
"Paris, Texas",1984,8.1,101854,Wim Wenders
Sleepers,1996,7.6,212318,Barry Levinson
Priest,1994,7.1,10209,Antonia Bird
Field of Dreams,1989,7.5,115948,Phil Alden Robinson
Gandhi,1982,8,225282,Richard Attenborough
The Rocky Horror Picture Show,1975,7.4,145068,Jim Sharman
Manon of the Spring,1986,8,21907,Claude Berri
My Life as a Dog,1985,7.6,20747,Lasse Hallstr�m
The Killing Fields,1984,7.8,54495,Roland Joff�
The Man Who Would Be King,1975,7.8,47843,John Huston
Charade,1963,7.9,74480,Stanley Donen
Clueless,1995,6.9,203701,Amy Heckerling
The Breakfast Club,1985,7.8,379199,John Hughes
On the Waterfront,1954,8.1,150611,Elia Kazan
A River Runs Through It,1992,7.2,57875,Robert Redford
Shadowlands,1993,7.3,18521,Richard Attenborough
The Searchers,1956,7.9,86427,John Ford
The Shawshank Redemption,1994,9.3,2529673,Frank Darabont
Star Wars: Episode IV - A New Hope,1977,8.6,1299781,George Lucas
The Godfather,1972,9.2,1741574,Francis Ford Coppola
Schindler's List,1993,8.9,1292510,Steven Spielberg
Casablanca,1942,8.5,551575,Michael Curtiz
Citizen Kane,1941,8.3,428750,Orson Welles
The Usual Suspects,1995,8.5,1045626,Bryan Singer
One Flew Over the Cuckoo's Nest,1975,8.7,969223,Milos Forman
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.4,474011,Stanley Kubrick
Star Wars: Episode V - The Empire Strikes Back,1980,8.7,1228288,Irvin Kershner
Titanic,1997,7.8,1116257,James Cameron
Indiana Jones and the Raiders of the Lost Ark,1981,8.4,931142,Steven Spielberg
Rear Window,1954,8.5,473590,Alfred Hitchcock
North by Northwest,1959,8.3,317375,Alfred Hitchcock
L.A. Confidential,1997,8.2,562649,Curtis Hanson
Pulp Fiction,1994,8.9,1948662,Quentin Tarantino
The Godfather: Part II,1974,9,1208326,Francis Ford Coppola
Blade Runner,1982,8.1,736925,Ridley Scott
Lawrence of Arabia,1962,8.3,284065,David Lean
The Silence of the Lambs,1991,8.6,1360144,Jonathan Demme
Taxi Driver,1976,8.2,778695,Martin Scorsese
It's a Wonderful Life,1946,8.6,438122,Frank Capra
Seven Samurai,1954,8.6,334350,Akira Kurosawa
12 Angry Men,1957,9,747360,Sidney Lumet
Goodfellas,1990,8.7,1094223,Martin Scorsese
To Kill a Mockingbird,1962,8.2,308050,Robert Mulligan
Vertigo,1958,8.3,388879,Alfred Hitchcock
